user_id,id
222087,27
222087,26
1343649,6
1343649,47
1343649,17
404134,18
404134,12
404134,23
404134,22
404134,27
404134,43
404134,38
404134,20
404134,35
404134,1
1110200,9
1110200,23
1110200,2
1110200,20
1110200,26
1110200,47
1110200,37
224107,31
224107,18
224107,5
224107,13
224107,1
224107,21
224107,48
224107,16
224107,26
224107,2
224107,44
224107,32
224107,20
224107,37
224107,42
224107,35
224107,40
224107,47
224107,12
224107,7
409803,43
409803,29
409803,8
409803,37
409803,23
409803,45
1296632,18
1296632,15
1296632,31
1296632,11
1296632,20
1296632,32
1296632,25
1296632,6
1296632,47
748280,14
748280,43
748280,6
748280,20
748280,7
748280,42
748280,41
748280,28
748280,10
748280,22
748280,46
31625,1
31625,43
31625,31
31625,37
31625,25
31625,32
31625,28
31625,35
987613,27
987613,1
987613,3
987613,2
987613,11
987613,45
987613,10
987613,44
987613,15
560265,10
560265,31
560265,25
560265,19
560265,2
560265,7
560265,15
560265,9
560265,23
60201,26
60201,28
60201,13
60201,39
60201,27
60201,22
60201,48
60201,18
60201,16
60201,17
60201,32
1413771,10
1413771,30
1413771,17
1413771,45
1413771,35
1413771,2
1413771,11
1413771,3
1413771,43
925776,43
925776,38
925776,35
925776,28
925776,16
455303,38
455303,15
455303,48
455303,43
455303,44
455303,10
455303,32
713697,2
713697,42
713697,18
226213,48
226213,32
226213,16
226213,21
226213,13
226213,37
226213,34
226213,39
392460,37
392460,38
392460,9
445179,44
445179,37
445179,33
445179,39
445179,9
445179,43
445179,13
445179,8
445179,21
445179,48
176016,39
176016,21
176016,16
176016,2
176016,13
176016,37
176016,48
176016,10
176016,6
176016,28
176016,5
1158400,23
1158400,43
1158400,9
1158400,40
1158400,28
1275545,9
1275545,43
1275545,38
1275545,47
1275545,17
1275545,25
1275545,40
772450,41
772450,19
772450,23
772450,7
772450,18
772450,40
772450,25
772450,1
1215832,41
386957,13
386957,1
386957,29
386957,7
386957,10
386957,35
386957,17
386957,43
386957,46
386957,37
386957,18
386957,26
377243,2
76657,25
76657,30
76657,40
76657,37
76657,23
76657,47
76657,32
76657,45
644868,46
644868,25
644868,47
644868,39
644868,26
644868,12
644868,38
644868,9
644868,21
644868,13
644868,6
644868,1
1141513,15
1141513,23
1141513,17
867267,44
867267,10
867267,26
867267,39
1207477,31
1207477,6
1207477,47
1207477,34
1207477,26
1207477,28
1207477,2
1350007,5
1350007,1
1350007,40
1350007,37
1350007,34
1083318,2
1083318,39
1083318,46
1083318,44
1083318,22
1004937,48
1004937,21
1004937,23
1004937,6
1004937,32
1004937,1
1004937,34
1166671,17
1166671,20
1166671,27
436724,39
436724,37
436724,34
436724,32
436724,20
436724,16
436724,21
436724,1
436724,45
436724,27
792328,23
792328,43
792328,29
792328,38
792328,20
157436,17
157436,42
157436,44
157436,45
157436,2
157436,10
157436,47
157436,29
661518,11
661518,5
661518,35
661518,18
661518,27
661518,24
661518,22
661518,20
661518,2
661518,3
661518,25
954248,45
954248,30
954248,47
954248,26
954248,41
954248,37
564282,8
564282,36
564282,23
564282,38
564282,13
564282,9
564282,40
564282,16
564282,25
564282,43
564282,47
564282,6
393183,26
393183,46
393183,10
393183,2
393183,42
393183,47
393183,21
393183,32
1364836,16
1364836,40
1364836,32
1364836,20
1364836,25
655229,25
655229,23
655229,6
655229,22
655229,36
655229,20
655229,2
655229,37
655229,46
1481476,25
1481476,10
1042714,39
1042714,35
1042714,42
367582,13
367582,34
367582,37
367582,39
367582,10
367582,9
367582,23
367582,43
367582,38
367582,18
367582,25
367582,44
367582,16
367582,8
728378,22
728378,38
728378,23
728378,13
728378,6
728378,47
728378,3
728378,24
728378,39
728378,9
728378,28
728378,5
728378,44
728378,34
728378,4
315367,46
315367,10
315367,2
315367,45
315367,1
315367,14
315367,48
315367,17
315367,6
1175055,15
1175055,39
1175055,34
1175055,25
1175055,20
1175055,32
1175055,9
1175055,1
1175055,42
1452215,33
1452215,38
1452215,23
1452215,32
1452215,20
1452215,46
1452215,6
1452215,47
1452215,17
1452215,2
1452215,1
1442225,1
1442225,16
1442225,8
1442225,28
1442225,40
1442225,32
1442225,2
1442225,27
1442225,41
1442225,18
1442225,13
1442225,34
1442225,37
1442225,23
43340,36
43340,22
1253017,31
1253017,3
1253017,1
1253017,18
1253017,27
1253017,48
1253017,34
1253017,37
1253017,43
1253017,22
1253017,20
1253017,41
1253017,10
1253017,12
268652,37
268652,38
268652,43
268652,3
268652,2
268652,1
268652,8
268652,16
268652,23
268652,9
268652,25
1377918,43
169792,19
169792,47
169792,16
169792,21
169792,43
169792,10
169792,45
505238,23
505238,43
505238,44
505238,46
505238,40
505238,32
505238,45
505238,2
505238,42
505238,37
608248,13
608248,25
608248,21
608248,23
608248,1
608248,34
608248,32
608248,20
644814,36
644814,23
644814,9
644814,28
644814,42
1239004,20
1239004,46
1239004,23
1239004,32
1239004,40
1239004,25
278680,14
278680,12
278680,3
278680,13
278680,4
278680,43
278680,26
278680,32
800472,32
800472,21
800472,37
800472,22
800472,10
800472,38
800472,2
800472,45
800472,20
800472,42
800472,13
800472,34
821346,37
821346,13
821346,6
821346,48
821346,16
821346,8
821346,34
821346,39
821346,17
821346,38
821346,26
821346,2
941381,32
941381,40
941381,39
941381,34
915746,39
915746,27
915746,8
915746,42
915746,45
915746,34
915746,6
915746,28
61963,12
61963,13
61963,32
61963,38
61963,44
61963,16
348760,2
348760,10
348760,42
348760,44
348760,7
348760,38
348760,23
348760,43
1019030,6
1019030,38
1019030,23
1019030,46
1019030,32
1019030,20
704369,25
704369,47
704369,32
704369,38
704369,23
704369,17
1409591,18
1409591,27
1409591,46
1409591,32
1409591,1
1409591,24
1409591,2
1409591,34
1409591,37
1409591,22
1409591,13
1409591,26
1409591,28
1409591,43
1409591,23
1409591,36
837870,45
498694,38
498694,9
498694,20
498694,2
498694,41
498694,35
498694,28
557310,48
557310,31
557310,17
888512,23
888512,32
888512,46
888512,43
218523,29
218523,17
218523,2
218523,16
218523,28
218523,45
218523,27
218523,10
218523,40
218523,34
218523,39
707345,36
707345,44
707345,45
707345,34
707345,33
707345,21
707345,41
707345,40
707345,20
707345,10
14491,19
14491,31
14491,38
14491,23
14491,2
14491,8
14491,3
14491,39
14491,6
14491,11
14491,5
14491,46
14491,22
88957,17
31625,10
31625,44
31625,3
31625,1
31625,2
31625,8
31625,5
31625,27
31625,37
34625,2
34625,16
34625,8
709676,37
709676,17
709676,47
709676,34
709676,36
709676,22
709676,5
709676,30
709676,15
709676,41
709676,44
1113584,46
1113584,32
1113584,1
1113584,44
1113584,2
207647,48
207647,37
207647,10
207647,36
207647,29
207647,43
207647,22
207647,17
207647,45
207647,44
207647,42
207647,25
207647,46
207647,35
207647,32
1491795,23
1491795,25
1491795,1
1491795,22
1491795,10
1491795,42
1491795,12
1491795,21
196919,30
196919,13
196919,34
196919,47
196919,33
196919,25
196919,46
196919,16
196919,43
196919,20
196919,23
833379,3
833379,28
833379,16
833379,39
833379,34
833379,21
833379,18
833379,26
833379,43
833379,38
833379,15
1469654,2
1469654,37
1469654,20
1469654,32
1469654,27
1469654,21
1469654,3
1469654,4
1469654,40
1469654,10
1469654,18
1469654,46
691526,2
691526,3
691526,18
1030308,10
1030308,20
1030308,8
1030308,23
1030308,18
1030308,38
1030308,9
1030308,28
1030308,1
1030308,2
1030308,24
1030308,40
1030308,25
1030308,32
1030308,43
1030308,22
395819,35
395819,12
395819,13
830842,17
830842,39
830842,3
830842,43
830842,13
830842,47
830842,45
830842,16
830842,32
830842,23
830842,18
830842,1
1078430,13
1078430,18
1078430,1
1078430,4
1078430,10
1078430,36
1078430,46
1078430,3
1078430,21
1078430,35
1078430,44
192584,2
1142170,1
1142170,45
128598,14
128598,23
128598,39
128598,2
128598,9
128598,4
128598,29
128598,19
128598,34
128598,37
128598,13
128598,38
128598,12
128598,32
128598,46
128598,24
128598,42
128598,40
128598,30
214303,23
214303,25
214303,20
214303,47
214303,44
930239,4
930239,43
930239,5
930239,25
930239,20
930239,42
930239,17
930239,37
930239,2
930239,8
930239,48
930239,3
930239,38
1430373,27
1430373,46
1430373,23
1430373,34
1430373,45
1430373,33
1430373,40
421531,47
421531,43
421531,46
421531,20
421531,11
421531,38
421531,35
497726,23
497726,26
497726,34
497726,12
497726,5
497726,18
497726,6
497726,17
1454091,38
1454091,16
1454091,20
1454091,23
1454091,2
1454091,47
1454091,1
1454091,6
1454091,19
1234379,20
1234379,11
1234379,39
1234379,13
1234379,23
1234379,43
1234379,24
1234379,34
1234379,9
1234379,3
1234379,10
776587,31
776587,30
776587,34
776587,13
776587,42
776587,45
776587,37
776587,36
776587,20
776587,32
776587,38
776587,9
776587,18
776587,1
776587,29
776587,10
776587,44
776587,2
776587,41
1341218,32
1341218,47
1341218,17
1341218,2
953642,10
953642,42
953642,32
953642,27
953642,17
953642,5
953642,30
953642,48
953642,14
953642,22
546582,34
546582,39
546582,35
546582,22
546582,17
546582,47
546582,20
546582,26
546582,6
546582,48
546582,37
546582,36
546582,13
546582,45
546582,24
1159587,33
1159587,44
1159587,37
1159587,4
1159587,40
1159587,9
847755,13
847755,17
847755,24
847755,48
847755,34
847755,37
847755,14
847755,28
847755,26
257418,35
257418,42
257418,25
1317452,38
1317452,23
1317452,13
1317452,39
1317452,1
1317452,9
587279,1
587279,44
587279,17
587279,13
587279,27
587279,7
587279,45
587279,32
587279,5
587279,31
587279,46
587279,36
587279,24
587279,15
1030427,17
1426538,21
1426538,46
1426538,23
1426538,9
1426538,7
1426538,2
1426538,44
1426538,45
1426538,42
155844,40
155844,45
155844,2
155844,41
155844,47
155844,35
155844,48
155844,44
155844,8
155844,26
884366,3
884366,34
884366,1
884366,38
884366,9
884366,43
884366,46
884366,44
884366,18
884366,27
884366,39
884366,47
884366,6
884366,17
1266922,11
1266922,18
1266922,48
1230569,23
1230569,2
1230569,42
1230569,45
1230569,1
1230569,18
896651,13
896651,34
896651,21
896651,9
896651,43
896651,23
896651,48
896651,14
896651,3
896651,2
896651,47
896651,1
724405,21
724405,28
724405,1
724405,42
724405,4
724405,41
724405,25
724405,47
724405,6
1198722,2
1198722,36
1198722,13
1198722,43
1198722,5
1198722,30
1198722,18
661464,30
661464,5
661464,43
661464,23
